title,street,city,state,postal_code,country,lat,lng,categories
41694-GOLD HORSE SPRITS,"Someshwarapura, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008,India,12.970682,77.6333551,shops
10735 - All About Liquor - Sheshadripuram,"Hotel Swathi, 1, Railway Platform Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560020, India",Bengaluru,Karnataka,560020,India,12.9886239,77.5722721,shops
11918 - Vanitha Wines,"6th Cross Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",Bengaluru,Karnataka,560009,India,12.9791304,77.5769212,shops
41766 - Liquor Slot,"Hair Do Salon And Spa, 9, Horamavu Road, Muneshwara Layout, Hoysala Nagara East, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560016, India",Bengaluru,Karnataka,560016,India,13.0206933,77.6733745,shops
42377 - Smt Gowramma,"Raghavendra Bhavan, 201, B Channasandra Main Road, OMBR Layout, Banaswadi, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India",Bengaluru,Karnataka,560043,India,13.0088681,77.6558994,shops
41868 - GOLDEN AMULYA WINES,"Bagalur Road, Dwaraka Nagar, Kogilu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560063, India",Bengaluru,Karnataka,560063,India,13.1213105,77.6182955,shops
44878 - Liquor Collectivity,"Bhagini Ikon, Varthur Road, Munnenkolalu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",Bengaluru,Karnataka,560037,India,12.9557158,77.7143397,shops
19141 Madhu Shree Wines,"Shaneshwara Temple, Nagarabhavi Road, Kaveri Layout, Marenahalli West, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560040, India",Bengaluru,Karnataka,560040,India,12.9714346,77.5268386,shops
40492 - LA clasic hotel,"Sri Mahadeshwara Swamy Temple, Hosur Road, Krishnasagara, Yadavanahalli, Anekal, Bengaluru Urban, Karnataka, 562107, India",Bengaluru,Karnataka,562107,India,12.7840553,77.7567936,shops
15491 - Sura Liquors,"Shivaganga Trinity Apartment, #15, Sai Baba Temple Road, Munekolala, Kundalahalli, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",Bengaluru,Karnataka,560037,India,12.9500319,77.7156578,shops
